PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33226732","Alzheimer's team care approach-akin to diabetes-in the development, validation, and population assessment of retinal biomarkers for disease","Dueñas MR, Snyder PJ.","Alzheimers Dement. 2020 Nov 23. doi: 10.1002/alz.12234. Online ahead of print.","Dueñas MR","Alzheimers Dement","2020","2020/11/23","","","10.1002/alz.12234"
"33224092","Neurophthalmologic and Orthoptic Ambulatory Assessments Reveal Ocular and Visual Changes in Patients With Early Alzheimer and Parkinson's Disease","Bargagli A, Fontanelli E, Zanca D, Castelli I, Rosini F, Maddii S, Di Donato I, Carluccio A, Battisti C, Tosi GM, Dotti MT, Rufa A.","Front Neurol. 2020 Nov 3;11:577362. doi: 10.3389/fneur.2020.577362. eCollection 2020.","Bargagli A","Front Neurol","2020","2020/11/23","PMC7669827","","10.3389/fneur.2020.577362"
"33203157","Ocular Vascular Changes in Mild Alzheimer's Disease Patients: Foveal Avascular Zone, Choroidal Thickness, and ONH Hemoglobin Analysis","Salobrar-Garcia E, Méndez-Hernández C, Hoz R, Ramírez AI, López-Cuenca I, Fernández-Albarral JA, Rojas P, Wang S, García-Feijoo J, Gil P, Salazar JJ, Ramírez JM.","J Pers Med. 2020 Nov 15;10(4):231. doi: 10.3390/jpm10040231.","Salobrar-Garcia E","J Pers Med","2020","2020/11/18","PMC7712569","","10.3390/jpm10040231"
"33180114","Retinal Imaging Findings in Carriers With PSEN1-Associated Early-Onset Familial Alzheimer Disease Before Onset of Cognitive Symptoms","Armstrong GW, Kim LA, Vingopoulos F, Park JY, Garg I, Kasetty M, Silverman RF, Zeng R, Douglas VP, Lopera F, Baena A, Giraldo M, Norton D, Cronin-Golomb A, Arboleda-Velasquez JF, Quiroz YT, Miller JB.","JAMA Ophthalmol. 2020 Nov 12:e204909. doi: 10.1001/jamaophthalmol.2020.4909. Online ahead of print.","Armstrong GW","JAMA Ophthalmol","2020","2020/11/12","PMC7662482","","10.1001/jamaophthalmol.2020.4909"
"33178120","Optical Coherence Tomography in Mild Cognitive Impairment: A Systematic Review and Meta-Analysis","Mejia-Vergara AJ, Restrepo-Jimenez P, Pelak VS.","Front Neurol. 2020 Oct 16;11:578698. doi: 10.3389/fneur.2020.578698. eCollection 2020.","Mejia-Vergara AJ","Front Neurol","2020","2020/11/12","PMC7596384","","10.3389/fneur.2020.578698"
"33172499","Combination of snapshot hyperspectral retinal imaging and optical coherence tomography to identify Alzheimer's disease patients","Lemmens S, Van Craenendonck T, Van Eijgen J, De Groef L, Bruffaerts R, de Jesus DA, Charle W, Jayapala M, Sunaric-Mégevand G, Standaert A, Theunis J, Van Keer K, Vandenbulcke M, Moons L, Vandenberghe R, De Boever P, Stalmans I.","Alzheimers Res Ther. 2020 Nov 10;12(1):144. doi: 10.1186/s13195-020-00715-1.","Lemmens S","Alzheimers Res Ther","2020","2020/11/11","PMC7654576","","10.1186/s13195-020-00715-1"
"33163610","A recommended ""minimum data set"" framework for SD-OCT retinal image acquisition and analysis from the Atlas of Retinal Imaging in Alzheimer's Study (ARIAS)","Alber J, Arthur E, Sinoff S, DeBuc DC, Chew EY, Douquette L, Hatch WV, Hudson C, Kashani A, Lee CS, Montaquila S, Mozdbar S, Cunha LP, Tayyari F, Van Stavern G, Snyder PJ.","Alzheimers Dement (Amst). 2020 Nov 1;12(1):e12119. doi: 10.1002/dad2.12119. eCollection 2020.","Alber J","Alzheimers Dement (Amst)","2020","2020/11/09","PMC7604454","","10.1002/dad2.12119"
"33157113","Optical coherence tomography angiography in neuro-ophthalmology: Current clinical role and future perspectives","Pujari A, Bhaskaran K, Sharma P, Singh P, Phuljhele S, Saxena R, Azad SV.","Surv Ophthalmol. 2020 Nov 3:S0039-6257(20)30147-8. doi: 10.1016/j.survophthal.2020.10.009. Online ahead of print.","Pujari A","Surv Ophthalmol","2020","2020/11/06","","","10.1016/j.survophthal.2020.10.009"
"33096909","Ganglion Cell Layer Thinning in Alzheimer's Disease","López-de-Eguileta A, Cerveró A, Ruiz de Sabando A, Sánchez-Juan P, Casado A.","Medicina (Kaunas). 2020 Oct 21;56(10):553. doi: 10.3390/medicina56100553.","López-de-Eguileta A","Medicina (Kaunas)","2020","2020/10/24","PMC7590216","","10.3390/medicina56100553"
"33081441","[The relationship between cognitive impairment and changes in retinal neuroarchitectonics]","Bogolepova AN, Makhnovich EV, Jyravleva AN.","Zh Nevrol Psikhiatr Im S S Korsakova. 2020;120(9):7-13. doi: 10.17116/jnevro20201200917.","Bogolepova AN","Zh Nevrol Psikhiatr Im S S Korsakova","2020","2020/10/21","","","10.17116/jnevro20201200917"
"33073531","Longitudinal retinal layer changes in preclinical Alzheimer's disease","van de Kreeke JA, Nguyen HT, Konijnenberg E, Tomassen J, den Braber A, Ten Kate M, Yaqub M, van Berckel B, Lammertsma AA, Boomsma DI, Tan HS, Visser PJ, Verbraak FD.","Acta Ophthalmol. 2020 Oct 18. doi: 10.1111/aos.14640. Online ahead of print.","van de Kreeke JA","Acta Ophthalmol","2020","2020/10/19","","","10.1111/aos.14640"
"33061906","Afferent and Efferent Visual Markers of Alzheimer's Disease: A Review and Update in Early Stage Disease","Wu SZ, Masurkar AV, Balcer LJ.","Front Aging Neurosci. 2020 Sep 11;12:572337. doi: 10.3389/fnagi.2020.572337. eCollection 2020.","Wu SZ","Front Aging Neurosci","2020","2020/10/16","PMC7518395","","10.3389/fnagi.2020.572337"
"33061285","Evaluation of Retinal Nerve Fiber Layer and Ganglion Cell Layer Thickness in Alzheimer's Disease Using Optical Coherence Tomography","Jindahra P, Hengsiri N, Witoonpanich P, Poonyathalang A, Pulkes T, Tunlayadechanont S, Thadanipon K, Vanikieti K.","Clin Ophthalmol. 2020 Oct 2;14:2995-3000. doi: 10.2147/OPTH.S276625. eCollection 2020.","Jindahra P","Clin Ophthalmol","2020","2020/10/16","PMC7537846","","10.2147/OPTH.S276625"
"33041751","Alzheimer's Retinopathy: Seeing Disease in the Eyes","Mirzaei N, Shi H, Oviatt M, Doustar J, Rentsendorj A, Fuchs DT, Sheyn J, Black KL, Koronyo Y, Koronyo-Hamaoui M.","Front Neurosci. 2020 Sep 8;14:921. doi: 10.3389/fnins.2020.00921. eCollection 2020.","Mirzaei N","Front Neurosci","2020","2020/10/12","PMC7523471","","10.3389/fnins.2020.00921"
"33014034","The Retinal Inner Plexiform Synaptic Layer Mirrors Grey Matter Thickness of Primary Visual Cortex with Increased Amyloid β Load in Early Alzheimer's Disease","Jorge L, Canário N, Martins R, Santiago B, Santana I, Quental H, Ambrósio F, Bernardes R, Castelo-Branco M.","Neural Plast. 2020 Sep 21;2020:8826087. doi: 10.1155/2020/8826087. eCollection 2020.","Jorge L","Neural Plast","2020","2020/10/05","PMC7525303","","10.1155/2020/8826087"
"33013667","The Application of Optical Coherence Tomography Angiography in Cerebral Small Vessel Disease, Ischemic Stroke, and Dementia: A Systematic Review","Zhang JF, Wiseman S, Valdés-Hernández MC, Doubal FN, Dhillon B, Wu YC, Wardlaw JM.","Front Neurol. 2020 Sep 10;11:1009. doi: 10.3389/fneur.2020.01009. eCollection 2020.","Zhang JF","Front Neurol","2020","2020/10/05","PMC7511809","","10.3389/fneur.2020.01009"
"33011937","Retinal biomarkers for Alzheimer's disease and vascular cognitive impairment and dementia (VCID): implication for early diagnosis and prognosis","Czakó C, Kovács T, Ungvari Z, Csiszar A, Yabluchanskiy A, Conley S, Csipo T, Lipecz A, Horváth H, Sándor GL, István L, Logan T, Nagy ZZ, Kovács I.","Geroscience. 2020 Dec;42(6):1499-1525. doi: 10.1007/s11357-020-00252-7. Epub 2020 Oct 4.","Czakó C","Geroscience","2020","2020/10/04","PMC7732888","","10.1007/s11357-020-00252-7"
"32967777","Microvascular changes of the retina in ankylosing spondylitis, and the association with cardiovascular disease - the eye for a heart study","van Bentum RE, Baniaamam M, Kinaci-Tas B, van de Kreeke JA, Kocyigit M, Tomassen J, den Braber A, Visser PJ, Ter Wee MM, Serné EH, Verbraak FD, Nurmohamed MT, van der Horst-Bruinsma IE.","Semin Arthritis Rheum. 2020 Dec;50(6):1535-1541. doi: 10.1016/j.semarthrit.2020.08.013. Epub 2020 Sep 2.","van Bentum RE","Semin Arthritis Rheum","2020","2020/09/24","","","10.1016/j.semarthrit.2020.08.013"
"32956392","Evaluation of choroidal thickness in prodromal Alzheimer's disease defined by amyloid PET","López-de-Eguileta A, Lage C, López-García S, Pozueta A, García-Martínez M, Kazimierczak M, Bravo M, de Arcocha-Torres M, Banzo I, Jimenez-Bonilla J, Cerveró A, Goikoetxea A, Rodríguez-Rodríguez E, Sánchez-Juan P, Casado A.","PLoS One. 2020 Sep 21;15(9):e0239484. doi: 10.1371/journal.pone.0239484. eCollection 2020.","López-de-Eguileta A","PLoS One","2020","2020/09/21","PMC7505462","","10.1371/journal.pone.0239484"
"32939442","Focal alteration of the intraretinal layers in neurodegenerative disorders","Airen S, Shi C, Liu Z, Levin BE, Signorile JF, Wang J, Jiang H.","Ann Eye Sci. 2020 Mar;5:8. doi: 10.21037/aes.2019.12.04.","Airen S","Ann Eye Sci","2020","2020/09/17","PMC7491919","NIHMS1584559","10.21037/aes.2019.12.04"
"32925026","Neuro-Retina Might Reflect Alzheimer's Disease Stage","Santangelo R, Huang SC, Bernasconi MP, Falautano M, Comi G, Magnani G, Leocani L.","J Alzheimers Dis. 2020;77(4):1455-1468. doi: 10.3233/JAD-200043.","Santangelo R","J Alzheimers Dis","2020","2020/09/14","","","10.3233/JAD-200043"
"32923939","OCTA in neurodegenerative optic neuropathies: emerging biomarkers at the eye-brain interface","Asanad S, Mohammed I, Sadun AA, Saeedi OJ.","Ther Adv Ophthalmol. 2020 Aug 27;12:2515841420950508. doi: 10.1177/2515841420950508. eCollection 2020 Jan-Dec.","Asanad S","Ther Adv Ophthalmol","2020","2020/09/14","PMC7457690","","10.1177/2515841420950508"
"32903645","Retinal Functional and Structural Changes in the 5xFAD Mouse Model of Alzheimer's Disease","Lim JKH, Li QX, He Z, Vingrys AJ, Chinnery HR, Mullen J, Bui BV, Nguyen CTO.","Front Neurosci. 2020 Aug 13;14:862. doi: 10.3389/fnins.2020.00862. eCollection 2020.","Lim JKH","Front Neurosci","2020","2020/09/09","PMC7438734","","10.3389/fnins.2020.00862"
"32890742","Retinal changes in Alzheimer's disease- integrated prospects of imaging, functional and molecular advances","Gupta VB, Chitranshi N, den Haan J, Mirzaei M, You Y, Lim JK, Basavarajappa D, Godinez A, Di Angelantonio S, Sachdev P, Salekdeh GH, Bouwman F, Graham S, Gupta V.","Prog Retin Eye Res. 2020 Sep 2:100899. doi: 10.1016/j.preteyeres.2020.100899. Online ahead of print.","Gupta VB","Prog Retin Eye Res","2020","2020/09/05","","","10.1016/j.preteyeres.2020.100899"
"32882213","Effect of age and sex on neurodevelopment and neurodegeneration in the healthy eye: Longitudinal functional and structural study in the Long-Evans rat","Rodrigo MJ, Martinez-Rincon T, Subias M, Mendez-Martinez S, Luna C, Pablo LE, Polo V, Garcia-Martin E.","Exp Eye Res. 2020 Nov;200:108208. doi: 10.1016/j.exer.2020.108208. Epub 2020 Aug 31.","Rodrigo MJ","Exp Eye Res","2020","2020/09/04","","","10.1016/j.exer.2020.108208"
"32881874","Correlation between brain volume and retinal photoreceptor outer segment volume in normal aging and neurodegenerative diseases","Uchida A, Pillai JA, Bermel R, Jones SE, Fernandez H, Leverenz JB, Srivastava SK, Ehlers JP.","PLoS One. 2020 Sep 3;15(9):e0237078. doi: 10.1371/journal.pone.0237078. eCollection 2020.","Uchida A","PLoS One","2020","2020/09/04","PMC7470418","","10.1371/journal.pone.0237078"
"32855993","Ex-vivo Alzheimer's disease brain tissue investigation: a multiscale approach using 1060-nm swept source optical coherence tomography for a direct correlation to histology","Lichtenegger A, Gesperger J, Niederleithner M, Ginner L, Woehrer A, Drexler W, Baumann B, Leitgeb RA, Salas M.","Neurophotonics. 2020 Jul;7(3):035004. doi: 10.1117/1.NPh.7.3.035004. Epub 2020 Aug 21.","Lichtenegger A","Neurophotonics","2020","2020/08/29","PMC7441220","","10.1117/1.NPh.7.3.035004"
"32821490","Scattering Angle Resolved Optical Coherence Tomography Detects Early Changes in 3xTg Alzheimer's Disease Mouse Model","Gardner MR, Baruah V, Vargas G, Motamedi M, Milner TE, Rylander HG 3rd.","Transl Vis Sci Technol. 2020 Apr 24;9(5):18. doi: 10.1167/tvst.9.5.18. eCollection 2020 Apr.","Gardner MR","Transl Vis Sci Technol","2020","2020/08/22","PMC7401921","","10.1167/tvst.9.5.18"
"32790788","RE-PERG in early-onset Alzheimer's disease: A double-blind, electrophysiological pilot study","Mavilio A, Sisto D, Prete F, Guadalupi V, Dammacco R, Alessio G.","PLoS One. 2020 Aug 13;15(8):e0236568. doi: 10.1371/journal.pone.0236568. eCollection 2020.","Mavilio A","PLoS One","2020","2020/08/14","PMC7425894","","10.1371/journal.pone.0236568"
"32770089","Cerebral tissue pO(2) response to treadmill exercise in awake mice","Moeini M, Cloutier-Tremblay C, Lu X, Kakkar A, Lesage F.","Sci Rep. 2020 Aug 7;10(1):13358. doi: 10.1038/s41598-020-70413-3.","Moeini M","Sci Rep","2020","2020/08/10","PMC7414913","","10.1038/s41598-020-70413-3"
"32765149","Optical Coherence Tomography Angiography in Neurodegenerative Diseases: A Review","Tsokolas G, Tsaousis KT, Diakonis VF, Matsou A, Tyradellis S.","Eye Brain. 2020 Jul 14;12:73-87. doi: 10.2147/EB.S193026. eCollection 2020.","Tsokolas G","Eye Brain","2020","2020/08/09","PMC7368556","","10.2147/EB.S193026"
"32760253","Comparison of Noninvasive Imagery Methods to Observe Healthy and Degenerated Olfactory Epithelium in Mice for the Early Diagnosis of Neurodegenerative Diseases","Etievant A, Monnin J, Lihoreau T, Tamadazte B, Rougeot P, Magnin E, Tavernier L, Pazart L, Haffen E.","Front Neuroanat. 2020 Jul 14;14:34. doi: 10.3389/fnana.2020.00034. eCollection 2020.","Etievant A","Front Neuroanat","2020","2020/08/08","PMC7371997","","10.3389/fnana.2020.00034"
"32732345","Intraocular pressure and circumpapillary retinal nerve fibre layer thickness in the Northern Ireland Cohort for the Longitudinal Study of Ageing (NICOLA): distributions and associations","McCann P, Hogg R, Wright DM, Chakravarthy U, Peto T, Cruise S, McGuinness B, Young IS, Kee F, Azuara-Blanco A.","Br J Ophthalmol. 2020 Jul 30:bjophthalmol-2020-316499. doi: 10.1136/bjophthalmol-2020-316499. Online ahead of print.","McCann P","Br J Ophthalmol","2020","2020/08/01","","","10.1136/bjophthalmol-2020-316499"
"32704412","Insights into Systemic Disease through Retinal Imaging-Based Oculomics","Wagner SK, Fu DJ, Faes L, Liu X, Huemer J, Khalid H, Ferraz D, Korot E, Kelly C, Balaskas K, Denniston AK, Keane PA.","Transl Vis Sci Technol. 2020 Feb 12;9(2):6. doi: 10.1167/tvst.9.2.6.","Wagner SK","Transl Vis Sci Technol","2020","2020/07/25","PMC7343674","","10.1167/tvst.9.2.6"
"32623211","Optical coherence tomography in mild cognitive impairment - Systematic review and meta-analysis","Noah AM, Almghairbi D, Moppett IK.","Clin Neurol Neurosurg. 2020 Sep;196:106036. doi: 10.1016/j.clineuro.2020.106036. Epub 2020 Jun 22.","Noah AM","Clin Neurol Neurosurg","2020","2020/07/06","","","10.1016/j.clineuro.2020.106036"
"32527301","Optical coherence tomography angiography as a potential screening tool for cerebral small vessel diseases","Lee JY, Kim JP, Jang H, Kim J, Kang SH, Kim JS, Lee J, Jung YH, Na DL, Seo SW, Oh SY, Kim HJ.","Alzheimers Res Ther. 2020 Jun 11;12(1):73. doi: 10.1186/s13195-020-00638-x.","Lee JY","Alzheimers Res Ther","2020","2020/06/13","PMC7291486","","10.1186/s13195-020-00638-x"
"32512126","Optical coherence tomography reveals light-dependent retinal responses in Alzheimer's disease","Bissig D, Zhou CG, Le V, Bernard JT.","Neuroimage. 2020 Oct 1;219:117022. doi: 10.1016/j.neuroimage.2020.117022. Epub 2020 Jun 5.","Bissig D","Neuroimage","2020","2020/06/09","","","10.1016/j.neuroimage.2020.117022"
"32504480","[Assessment of changes in the retina of patients with Alzheimer's disease]","Guliyeva RN.","Vestn Oftalmol. 2020;136(3):74-78. doi: 10.17116/oftalma202013603174.","Guliyeva RN","Vestn Oftalmol","2020","2020/06/07","","","10.17116/oftalma202013603174"
"32503282","Macular Thickness Decrease in Asymptomatic Subjects at High Genetic Risk of Developing Alzheimer's Disease: An OCT Study","López-Cuenca I, de Hoz R, Salobrar-García E, Elvira-Hurtado L, Rojas P, Fernández-Albarral JA, Barabash A, Salazar JJ, Ramírez AI, Ramírez JM.","J Clin Med. 2020 Jun 3;9(6):1728. doi: 10.3390/jcm9061728.","López-Cuenca I","J Clin Med","2020","2020/06/07","PMC7355697","","10.3390/jcm9061728"
"32498362","Optical Coherence Tomography Angiography in Neurodegenerative Disorders","Pellegrini M, Vagge A, Ferro Desideri LF, Bernabei F, Triolo G, Mastropasqua R, Del Noce CD, Borrelli E, Sacconi R, Iovino C, Di Zazzo AD, Forlini M, Giannaccare G.","J Clin Med. 2020 Jun 2;9(6):1706. doi: 10.3390/jcm9061706.","Pellegrini M","J Clin Med","2020","2020/06/06","PMC7356677","","10.3390/jcm9061706"
"32472048","Efficacy of conbercept combined with panretinal photocoagulation in the treatment of proliferative diabetic retinopathy","He F, Yang J, Zhang X, Yu W.","Sci Rep. 2020 May 29;10(1):8778. doi: 10.1038/s41598-020-65833-0.","He F","Sci Rep","2020","2020/05/31","PMC7260229","","10.1038/s41598-020-65833-0"
"32469871","Retinal nerve fiber layer thickness predicts CSF amyloid/tau before cognitive decline","Asanad S, Fantini M, Sultan W, Nassisi M, Felix CM, Wu J, Karanjia R, Ross-Cisneros FN, Sagare AP, Zlokovic BV, Chui HC, Pogoda JM, Arakaki X, Fonteh AN, Sadun AA, Harrington MG.","PLoS One. 2020 May 29;15(5):e0232785. doi: 10.1371/journal.pone.0232785. eCollection 2020.","Asanad S","PLoS One","2020","2020/05/30","PMC7259639","","10.1371/journal.pone.0232785"
"32457394","Oral administration of ferulic acid or ethyl ferulate attenuates retinal damage in sodium iodate-induced retinal degeneration mice","Kohno M, Musashi K, Ikeda HO, Horibe T, Matsumoto A, Kawakami K.","Sci Rep. 2020 May 26;10(1):8688. doi: 10.1038/s41598-020-65673-y.","Kohno M","Sci Rep","2020","2020/05/28","PMC7250827","","10.1038/s41598-020-65673-y"
"32429102","Interactions between Amyloid-Β Proteins and Human Brain Pericytes: Implications for the Pathobiology of Alzheimer's Disease","Alcendor DJ.","J Clin Med. 2020 May 15;9(5):1490. doi: 10.3390/jcm9051490.","Alcendor DJ","J Clin Med","2020","2020/05/21","PMC7290583","","10.3390/jcm9051490"
"32421221","Letter to the Editor on 'Retinal microvascular attenuation in mental cognitive impairment and Alzheimer's disease by optical coherence tomography angiography'","Chua J, Schmetterer L.","Acta Ophthalmol. 2020 Sep;98(6):e793-e794. doi: 10.1111/aos.14464. Epub 2020 May 18.","Chua J","Acta Ophthalmol","2020","2020/05/19","","","10.1111/aos.14464"
"32404941","Multimodal Coherent Imaging of Retinal Biomarkers of Alzheimer's Disease in a Mouse Model","Song G, Steelman ZA, Finkelstein S, Yang Z, Martin L, Chu KK, Farsiu S, Arshavsky VY, Wax A.","Sci Rep. 2020 May 13;10(1):7912. doi: 10.1038/s41598-020-64827-2.","Song G","Sci Rep","2020","2020/05/15","PMC7220911","","10.1038/s41598-020-64827-2"
"32345316","Novel alterations in corneal neuroimmune phenotypes in mice with central nervous system tauopathy","Jiao H, Downie LE, Huang X, Wu M, Oberrauch S, Keenan RJ, Jacobson LH, Chinnery HR.","J Neuroinflammation. 2020 Apr 28;17(1):136. doi: 10.1186/s12974-020-01803-7.","Jiao H","J Neuroinflammation","2020","2020/04/30","PMC7189727","","10.1186/s12974-020-01803-7"
"32345233","Ocular biomarkers for cognitive impairment in nonagenarians; a prospective cross-sectional study","van de Kreeke JA, Legdeur N, Badissi M, Nguyen HT, Konijnenberg E, Tomassen J, Ten Kate M, den Braber A, Maier AB, Tan HS, Verbraak FD, Visser PJ.","BMC Geriatr. 2020 Apr 28;20(1):155. doi: 10.1186/s12877-020-01556-1.","van de Kreeke JA","BMC Geriatr","2020","2020/04/30","PMC7189586","","10.1186/s12877-020-01556-1"
"32341868","Three-dimensional visualization of opacifications in the murine crystalline lens by in vivo optical coherence tomography","Eugui P, Harper DJ, Kummer S, Lichtenegger A, Gesperger J, Himmel T, Augustin M, Merkle CW, Glösmann M, Baumann B.","Biomed Opt Express. 2020 Mar 19;11(4):2085-2097. doi: 10.1364/BOE.387335. eCollection 2020 Apr 1.","Eugui P","Biomed Opt Express","2020","2020/04/29","PMC7173898","","10.1364/BOE.387335"
"32306804","Detection of structural and electrical disturbances in macula and optic nerve in Alzheimer's patients and their correlation with disease severity","Sen S, Saxena R, Vibha D, Tripathi M, Sharma P, Phuljhele S, Tandon R, Kumar P.","Semin Ophthalmol. 2020 Feb 17;35(2):116-125. doi: 10.1080/08820538.2020.1748203. Epub 2020 Apr 18.","Sen S","Semin Ophthalmol","2020","2020/04/21","","","10.1080/08820538.2020.1748203"
"32299067","A system identification analysis of optogenetically evoked electrocorticography and cerebral blood flow responses","Chin-Hao Chen R, Atry F, Richner T, Brodnick S, Pisaniello J, Ness J, Suminski AJ, Williams J, Pashaie R.","J Neural Eng. 2020 Oct 31;17(5):056049. doi: 10.1088/1741-2552/ab89fc.","Chin-Hao Chen R","J Neural Eng","2020","2020/04/17","","","10.1088/1741-2552/ab89fc"
"32269521","Reduced Retinal Thickness Predicts Age-Related Changes in Cognitive Function","Mammadova N, Neppl TK, Denburg NL, West Greenlee MH.","Front Aging Neurosci. 2020 Mar 24;12:81. doi: 10.3389/fnagi.2020.00081. eCollection 2020.","Mammadova N","Front Aging Neurosci","2020","2020/04/10","PMC7109392","","10.3389/fnagi.2020.00081"
"32234080","Association between retinal thickness and β-amyloid brain accumulation in individuals with subjective cognitive decline: Fundació ACE Healthy Brain Initiative","Marquié M, Valero S, Castilla-Marti M, Martínez J, Rodríguez-Gómez O, Sanabria Á, Tartari JP, Monté-Rubio GC, Sotolongo-Grau O, Alegret M, Pérez-Cordón A, Roberto N, de Rojas I, Moreno-Grau S, Montrreal L, Hernández I, Rosende-Roca M, Mauleón A, Vargas L, Abdelnour C, Gil S, Esteban-De Antonio E, Espinosa A, Ortega G, Lomeña F, Pavia J, Vivas A, Tejero MÁ, Gómez-Chiari M, Simó R, Ciudin A, Hernández C, Orellana A, Benaque A, Ruiz A, Tárraga L, Boada M; FACEHBI study group.","Alzheimers Res Ther. 2020 Mar 31;12(1):37. doi: 10.1186/s13195-020-00602-9.","Marquié M","Alzheimers Res Ther","2020","2020/04/03","PMC7110730","","10.1186/s13195-020-00602-9"
"32212415","Anatomical and functional changes in the retina in patients with Alzheimer's disease and mild cognitive impairment","Szegedi S, Dal-Bianco P, Stögmann E, Traub-Weidinger T, Rainer M, Masching A, Schmidl D, Werkmeister RM, Chua J, Schmetterer L, Garhöfer G.","Acta Ophthalmol. 2020 Nov;98(7):e914-e921. doi: 10.1111/aos.14419. Epub 2020 Mar 25.","Szegedi S","Acta Ophthalmol","2020","2020/03/27","PMC7687124","","10.1111/aos.14419"
