PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32864188","Prospective Home-use Study on Non-invasive Neuromodulation Therapy for Essential Tremor","Isaacson SH, Peckham E, Tse W, Waln O, Way C, Petrossian MT, Dahodwala N, Soileau MJ, Lew M, Dietiker C, Luthra N, Agarwal P, Dhall R, Morgan J, Calakos N, Zesiewicz TA, Shamim EA, Kumar R, LeWitt P, Shill HA, Simmons A, Pagan FL, Khemani P, Tate J, Maddux B, Luo L, Ondo W, Hallett M, Rajagopal A, Chidester P, Rosenbluth KH, Delp SL, Pahwa R.","Tremor Other Hyperkinet Mov (N Y). 2020 Aug 14;10:29. doi: 10.5334/tohm.59.","Isaacson SH","Tremor Other Hyperkinet Mov (N Y)","2020","2020/09/01","PMC7427656","","10.5334/tohm.59"
"29857568","Botulinum Toxin for Central Neuropathic Pain","Park J, Chung ME.","Toxins (Basel). 2018 Jun 1;10(6):224. doi: 10.3390/toxins10060224.","Park J","Toxins (Basel)","2018","2018/06/03","PMC6024683","","10.3390/toxins10060224"
"28837075","Botulinum Toxin for the Treatment of Neuropathic Pain","Park J, Park HJ.","Toxins (Basel). 2017 Aug 24;9(9):260. doi: 10.3390/toxins9090260.","Park J","Toxins (Basel)","2017","2017/08/25","PMC5618193","","10.3390/toxins9090260"
"26134256","Botulinum Toxin Type A for the Treatment of Neuropathic Pain in Neuro-Rehabilitation","Intiso D, Basciani M, Santamato A, Intiso M, Di Rienzo F.","Toxins (Basel). 2015 Jun 30;7(7):2454-80. doi: 10.3390/toxins7072454.","Intiso D","Toxins (Basel)","2015","2015/07/03","PMC4516923","","10.3390/toxins7072454"
"27620156","Central Poststroke Pain","Roth EJ, McGuire JR.","Top Stroke Rehabil. 1996 Jan;2(4):77-84. doi: 10.1080/10749357.1996.11754096.","Roth EJ","Top Stroke Rehabil","1996","2016/09/14","","","10.1080/10749357.1996.11754096"
"23611852","Central poststroke pain: current diagnosis and treatment","Flaster M, Meresh E, Rao M, Biller J.","Top Stroke Rehabil. 2013 Mar-Apr;20(2):116-23. doi: 10.1310/tsr2002-116.","Flaster M","Top Stroke Rehabil","2013","2013/04/25","","","10.1310/tsr2002-116"
"20797959","Central poststroke pain syndrome","Harvey RL.","Top Stroke Rehabil. 2010 May-Jun;17(3):163-72. doi: 10.1310/tsr1703-163.","Harvey RL","Top Stroke Rehabil","2010","2010/08/28","","","10.1310/tsr1703-163"
"25341455","Analgesic effect of transcranial direct current stimulation on central post-stroke pain","Bae SH, Kim GD, Kim KY.","Tohoku J Exp Med. 2014 Nov;234(3):189-95. doi: 10.1620/tjem.234.189.","Bae SH","Tohoku J Exp Med","2014","2014/10/25","","","10.1620/tjem.234.189"
"15261496","Linear accelerator thalamotomy","Frighetto L, De Salles A, Wallace R, Ford J, Selch M, Cabatan-Awang C, Solberg T.","Surg Neurol. 2004 Aug;62(2):106-13; discussion 113-4. doi: 10.1016/j.surneu.2003.08.033.","Frighetto L","Surg Neurol","2004","2004/07/21","","","10.1016/j.surneu.2003.08.033"
"17612044","Anti-inflammatory drugs in the 21st century","Rainsford KD.","Subcell Biochem. 2007;42:3-27. doi: 10.1007/1-4020-5688-5_1.","Rainsford KD","Subcell Biochem","2007","2007/07/07","","","10.1007/1-4020-5688-5_1"
"31500556","Pathophysiology of Central Poststroke Pain: Motor Cortex Disinhibition and Its Clinical and Sensory Correlates","Tang SC, Lee LJ, Jeng JS, Hsieh ST, Chiang MC, Yeh SJ, Hsueh HW, Chao CC.","Stroke. 2019 Oct;50(10):2851-2857. doi: 10.1161/STROKEAHA.119.025692. Epub 2019 Sep 10.","Tang SC","Stroke","2019","2019/09/11","","","10.1161/STROKEAHA.119.025692"
"30354975","Effect of Intrathecal Baclofen on Pain and Quality of Life in Poststroke Spasticity","Creamer M, Cloud G, Kossmehl P, Yochelson M, Francisco GE, Ward AB, Wissel J, Zampolini M, Abouihia A, Calabrese A, Saltuari L.","Stroke. 2018 Sep;49(9):2129-2137. doi: 10.1161/STROKEAHA.118.022255.","Creamer M","Stroke","2018","2018/10/26","PMC6116794","","10.1161/STROKEAHA.118.022255"
"26359361","Management of Central Poststroke Pain: Systematic Review of Randomized Controlled Trials","Mulla SM, Wang L, Khokhar R, Izhar Z, Agarwal A, Couban R, Buckley DN, Moulin DE, Panju A, Makosso-Kallyth S, Turan A, Montori VM, Sessler DI, Thabane L, Guyatt GH, Busse JW.","Stroke. 2015 Oct;46(10):2853-60. doi: 10.1161/STROKEAHA.115.010259. Epub 2015 Sep 10.","Mulla SM","Stroke","2015","2015/09/12","","","10.1161/STROKEAHA.115.010259"
"25378420","Cerebral venous thrombosis in the absence of headache","Coutinho JM, Stam J, Canhão P, Barinagarrementeria F, Bousser MG, Ferro JM; ISCVT Investigators.","Stroke. 2015 Jan;46(1):245-7. doi: 10.1161/STROKEAHA.114.007584. Epub 2014 Nov 6.","Coutinho JM","Stroke","2015","2014/11/08","","","10.1161/STROKEAHA.114.007584"
"23559265","Chronic pain syndromes after ischemic stroke: PRoFESS trial","O'Donnell MJ, Diener HC, Sacco RL, Panju AA, Vinisko R, Yusuf S; PRoFESS Investigators.","Stroke. 2013 May;44(5):1238-43. doi: 10.1161/STROKEAHA.111.671008. Epub 2013 Apr 4.","O'Donnell MJ","Stroke","2013","2013/04/06","","","10.1161/STROKEAHA.111.671008"
"19628797","Medial medullary infarction: clinical, imaging, and outcome study in 86 consecutive patients","Kim JS, Han YS.","Stroke. 2009 Oct;40(10):3221-5. doi: 10.1161/STROKEAHA.109.559864. Epub 2009 Jul 23.","Kim JS","Stroke","2009","2009/07/25","","","10.1161/STROKEAHA.109.559864"
"12468808","Amitriptyline in the prophylaxis of central poststroke pain. Preliminary results of 39 patients in a placebo-controlled, long-term study","Lampl C, Yazdi K, Röper C.","Stroke. 2002 Dec;33(12):3030-2. doi: 10.1161/01.str.0000037674.95228.86.","Lampl C","Stroke","2002","2002/12/07","","","10.1161/01.str.0000037674.95228.86"
"11486114","Open-label dose-titration safety and efficacy study of tizanidine hydrochloride in the treatment of spasticity associated with chronic stroke","Gelber DA, Good DC, Dromerick A, Sergay S, Richardson M.","Stroke. 2001 Aug;32(8):1841-6. doi: 10.1161/01.str.32.8.1841.","Gelber DA","Stroke","2001","2001/08/04","","","10.1161/01.str.32.8.1841"
"10583000","Sensory sequelae of medullary infarction: differences between lateral and medial medullary syndrome","Kim JS, Choi-Kwon S.","Stroke. 1999 Dec;30(12):2697-703. doi: 10.1161/01.str.30.12.2697.","Kim JS","Stroke","1999","1999/12/03","","","10.1161/01.str.30.12.2697"
"30125888","Motor Cortex Stimulation Therapy for Relief of Central Post-Stroke Pain: A Retrospective Study with Neuropathic Pain Symptom Inventory","Zhang X, Zhu H, Tao W, Li Y, Hu Y.","Stereotact Funct Neurosurg. 2018;96(4):239-243. doi: 10.1159/000492056. Epub 2018 Aug 20.","Zhang X","Stereotact Funct Neurosurg","2018","2018/08/21","","","10.1159/000492056"
"28848107","Deep Brain Stimulation for the Treatment of Dejerine-Roussy Syndrome","Ward M, Mammis A.","Stereotact Funct Neurosurg. 2017;95(5):298-306. doi: 10.1159/000479526. Epub 2017 Aug 25.","Ward M","Stereotact Funct Neurosurg","2017","2017/08/30","","","10.1159/000479526"
"25895656","Long-term results of motor cortex stimulation in the treatment of chronic, intractable neuropathic pain","Im SH, Ha SW, Kim DR, Son BC.","Stereotact Funct Neurosurg. 2015;93(3):212-8. doi: 10.1159/000381557. Epub 2015 Apr 21.","Im SH","Stereotact Funct Neurosurg","2015","2015/04/22","","","10.1159/000381557"
"15583465","Recovery of pain control by intensive reprogramming after loss of benefit from motor cortex stimulation for neuropathic pain","Henderson JM, Boongird A, Rosenow JM, LaPresto E, Rezai AR.","Stereotact Funct Neurosurg. 2004;82(5-6):207-13. doi: 10.1159/000082447. Epub 2004 Nov 30.","Henderson JM","Stereotact Funct Neurosurg","2004","2004/12/08","","","10.1159/000082447"
"14742968","Role of pituitary radiosurgery for the management of intractable pain and potential future applications","Hayashi M, Taira T, Chernov M, Izawa M, Liscak R, Yu CP, Ho RT, Katayama Y, Kouyama N, Kawakami Y, Hori T, Takakura K.","Stereotact Funct Neurosurg. 2003;81(1-4):75-83. doi: 10.1159/000075108.","Hayashi M","Stereotact Funct Neurosurg","2003","2004/01/27","","","10.1159/000075108"
"12378074","Motor cortex stimulation for post-stroke pain: comparison of spinal cord and thalamic stimulation","Katayama Y, Yamamoto T, Kobayashi K, Kasai M, Oshima H, Fukaya C.","Stereotact Funct Neurosurg. 2001;77(1-4):183-6. doi: 10.1159/000064618.","Katayama Y","Stereotact Funct Neurosurg","2001","2002/10/16","","","10.1159/000064618"
"10853116","Precentral cortex stimulation for the treatment of central neuropathic pain: results of a prospective study in a 20-patient series","Mertens P, Nuti C, Sindou M, Guenot M, Peyron R, Garcia-Larrea L, Laurent B.","Stereotact Funct Neurosurg. 1999;73(1-4):122-5. doi: 10.1159/000029769.","Mertens P","Stereotact Funct Neurosurg","1999","2000/06/15","","","10.1159/000029769"
"8211322","Systemic lidocaine therapy for poststroke pain","Edmondson EA, Simpson RK Jr, Stubler DK, Beric A.","South Med J. 1993 Oct;86(10):1093-6. doi: 10.1097/00007611-199310000-00002.","Edmondson EA","South Med J","1993","1993/10/01","","","10.1097/00007611-199310000-00002"
"25523242","The role of central sensitization in shoulder pain: A systematic literature review","Sanchis MN, Lluch E, Nijs J, Struyf F, Kangasperko M.","Semin Arthritis Rheum. 2015 Jun;44(6):710-6. doi: 10.1016/j.semarthrit.2014.11.002. Epub 2014 Nov 13.","Sanchis MN","Semin Arthritis Rheum","2015","2014/12/20","","","10.1016/j.semarthrit.2014.11.002"
"28871156","Late-onset hypersensitivity after a lesion in the ventral posterolateral nucleus of the thalamus: A macaque model of central post-stroke pain","Nagasaka K, Takashima I, Matsuda K, Higo N.","Sci Rep. 2017 Sep 4;7(1):10316. doi: 10.1038/s41598-017-10679-2.","Nagasaka K","Sci Rep","2017","2017/09/06","PMC5583363","","10.1038/s41598-017-10679-2"
"29913636","Mirror therapy for Complex Regional Pain Syndrome (CRPS)-A literature review and an illustrative case report","Sayegh SA, Filén T, Johansson M, Sandström S, Stiewe G, Butler S.","Scand J Pain. 2013 Oct 1;4(4):200-207. doi: 10.1016/j.sjpain.2013.06.002.","Sayegh SA","Scand J Pain","2013","2018/06/20","","","10.1016/j.sjpain.2013.06.002"
"29794278","A case report of a thalamic stroke associated with sudden disappearance of severe chronic low back pain","Shanthanna H.","Scand J Pain. 2018 Jan 26;18(1):121-124. doi: 10.1515/sjpain-2017-0169.","Shanthanna H","Scand J Pain","2018","2018/05/26","","","10.1515/sjpain-2017-0169"
"17428213","Caring and uncaring experiences as narrated by persons with long-term pain after a stroke","Widar M, Ek AC, Ahlström G.","Scand J Caring Sci. 2007 Mar;21(1):41-7. doi: 10.1111/j.1471-6712.2007.00449.x.","Widar M","Scand J Caring Sci","2007","2007/04/13","","","10.1111/j.1471-6712.2007.00449.x"
"12191043","Disability after a stroke and the influence of long-term pain on everyday life","Widar M, Ahlström G.","Scand J Caring Sci. 2002 Sep;16(3):302-10. doi: 10.1046/j.1471-6712.2002.00090.x.","Widar M","Scand J Caring Sci","2002","2002/08/23","","","10.1046/j.1471-6712.2002.00090.x"
"30482566","Electrophysiology in diagnosis and management of neuropathic pain","Garcia-Larrea L, Hagiwara K.","Rev Neurol (Paris). 2019 Jan-Feb;175(1-2):26-37. doi: 10.1016/j.neurol.2018.09.015. Epub 2018 Oct 26.","Garcia-Larrea L","Rev Neurol (Paris)","2019","2018/11/29","","","10.1016/j.neurol.2018.09.015"
"30054011","Pain after stroke: A review","Delpont B, Blanc C, Osseby GV, Hervieu-Bègue M, Giroud M, Béjot Y.","Rev Neurol (Paris). 2018 Dec;174(10):671-674. doi: 10.1016/j.neurol.2017.11.011. Epub 2018 Jul 24.","Delpont B","Rev Neurol (Paris)","2018","2018/07/29","","","10.1016/j.neurol.2017.11.011"
"24167944","Neurofeedback therapy in patients with acute and chronic pain syndromes--literature review and own experience","Kubik A, Biedroń A.","Przegl Lek. 2013;70(7):440-2.","Kubik A","Przegl Lek","2013","2013/10/31","","",""
"27132521","The pathophysiological role of astrocytic endothelin-1","Hostenbach S, D'haeseleer M, Kooijman R, De Keyser J.","Prog Neurobiol. 2016 Sep;144:88-102. doi: 10.1016/j.pneurobio.2016.04.009. Epub 2016 Apr 28.","Hostenbach S","Prog Neurobiol","2016","2016/05/03","","","10.1016/j.pneurobio.2016.04.009"
"11098686","The functional anatomy of lamina I and its role in post-stroke central pain","Craig AD.","Prog Brain Res. 2000;129:137-51. doi: 10.1016/S0079-6123(00)29010-9.","Craig AD","Prog Brain Res","2000","2000/12/01","","","10.1016/S0079-6123(00)29010-9"
"8545288","The management of central post-stroke pain","Bowsher D.","Postgrad Med J. 1995 Oct;71(840):598-604. doi: 10.1136/pgmj.71.840.598.","Bowsher D","Postgrad Med J","1995","1995/10/01","PMC2398253","","10.1136/pgmj.71.840.598"
"27317916","Demystifying Poststroke Pain: From Etiology to Treatment","Treister AK, Hatch MN, Cramer SC, Chang EY.","PM R. 2017 Jan;9(1):63-75. doi: 10.1016/j.pmrj.2016.05.015. Epub 2016 Jun 16.","Treister AK","PM R","2017","2016/06/19","PMC5161714","NIHMS831863","10.1016/j.pmrj.2016.05.015"
"26690022","The Analgesic Effect of Abobotulinum and Incobotulinum Toxins Type A in Central Poststroke Pain: Two Case Reports","Camoes-Barbosa A, Neves AF.","PM R. 2016 Apr;8(4):384-387. doi: 10.1016/j.pmrj.2015.12.002. Epub 2015 Dec 12.","Camoes-Barbosa A","PM R","2016","2015/12/23","","","10.1016/j.pmrj.2015.12.002"
"26409194","A Medication Combination for the Treatment of Central Poststroke Pain via the Adjuvant Use of Prednisone With Gabapentin: A Case Report","Batlle L, Mattie R, Irwin R.","PM R. 2016 Mar;8(3):278-81. doi: 10.1016/j.pmrj.2015.09.010. Epub 2015 Sep 25.","Batlle L","PM R","2016","2015/09/27","","","10.1016/j.pmrj.2015.09.010"
"32017810","Higher risk of herpes zoster in stroke patients","Tung YC, Tu HP, Wu MK, Kuo KL, Su YF, Lu YY, Lin CL, Wu CH.","PLoS One. 2020 Feb 4;15(2):e0228409. doi: 10.1371/journal.pone.0228409. eCollection 2020.","Tung YC","PLoS One","2020","2020/02/05","PMC6999860","","10.1371/journal.pone.0228409"
"28817717","Short Report: TRPV1-polymorphism 1911 A>G alters capsaicin-induced sensory changes in healthy subjects","Forstenpointner J, Förster M, May D, Hofschulte F, Cascorbi I, Wasner G, Gierthmühlen J, Baron R.","PLoS One. 2017 Aug 17;12(8):e0183322. doi: 10.1371/journal.pone.0183322. eCollection 2017.","Forstenpointner J","PLoS One","2017","2017/08/18","PMC5560710","","10.1371/journal.pone.0183322"
"27028404","Caloric Vestibular Stimulation Reduces Pain and Somatoparaphrenia in a Severe Chronic Central Post-Stroke Pain Patient: A Case Study","Spitoni GF, Pireddu G, Galati G, Sulpizio V, Paolucci S, Pizzamiglio L.","PLoS One. 2016 Mar 30;11(3):e0151213. doi: 10.1371/journal.pone.0151213. eCollection 2016.","Spitoni GF","PLoS One","2016","2016/03/31","PMC4814090","","10.1371/journal.pone.0151213"
"32584191","Neuropathic Pain: From Mechanisms to Treatment","Finnerup NB, Kuner R, Jensen TS.","Physiol Rev. 2021 Jan 1;101(1):259-301. doi: 10.1152/physrev.00045.2019. Epub 2020 Jun 25.","Finnerup NB","Physiol Rev","2021","2020/06/26","","","10.1152/physrev.00045.2019"
"11560197","Adjunctive agents in the management of chronic pain","Guay DR.","Pharmacotherapy. 2001 Sep;21(9):1070-81. doi: 10.1592/phco.21.13.1070.34622.","Guay DR","Pharmacotherapy","2001","2001/09/19","","","10.1592/phco.21.13.1070.34622"
"32461186","Epoxyeicosatrienoic acids: Emerging therapeutic agents for central post-stroke pain","Wan L, Li Z, Liu T, Chen X, Xu Q, Yao W, Zhang C, Zhang Y.","Pharmacol Res. 2020 Sep;159:104923. doi: 10.1016/j.phrs.2020.104923. Epub 2020 May 24.","Wan L","Pharmacol Res","2020","2020/05/29","","","10.1016/j.phrs.2020.104923"
"21925602","Antiepileptic drugs for central post-stroke pain management","Siniscalchi A, Gallelli L, De Sarro G, Malferrari G, Santangelo E.","Pharmacol Res. 2012 Feb;65(2):171-5. doi: 10.1016/j.phrs.2011.09.003. Epub 2011 Sep 10.","Siniscalchi A","Pharmacol Res","2012","2011/09/20","","","10.1016/j.phrs.2011.09.003"
"25049285","Risk factors associated with adverse outcome following extracorporeal life support: analysis from 360 consecutive patients","Papadopoulos N, Marinos S, El-Sayed Ahmad A, Keller H, Meybohm P, Zacharowski K, Moritz A, Zierer A.","Perfusion. 2015 May;30(4):284-90. doi: 10.1177/0267659114542458. Epub 2014 Jul 21.","Papadopoulos N","Perfusion","2015","2014/07/23","","","10.1177/0267659114542458"
"31982448","Beneficial actions of prothymosin alpha-mimetic hexapeptide on central post-stroke pain, reduced social activity, learning-deficit and depression following cerebral ischemia in mice","Sasaki K, Halder SK, Matsunaga H, Ueda H.","Peptides. 2020 Apr;126:170265. doi: 10.1016/j.peptides.2020.170265. Epub 2020 Jan 23.","Sasaki K","Peptides","2020","2020/01/27","","","10.1016/j.peptides.2020.170265"
"23474660","The complexities of pain after stroke--a review with a focus on central post-stroke pain","Seifert CL, Mallar Chakravarty M, Sprenger T.","Panminerva Med. 2013 Mar;55(1):1-10.","Seifert CL","Panminerva Med","2013","2013/03/12","","",""
"33209169","Multidetector computed tomography utilization in an urban sub-Saharan Africa setting: user characteristics, indications and appropriateness","Tambe J, Mbuagbaw L, Nguefack-Tsague G, Foyet J, Ongolo-Zogo P.","Pan Afr Med J. 2020 Sep 9;37:42. doi: 10.11604/pamj.2020.37.42.21176. eCollection 2020.","Tambe J","Pan Afr Med J","2020","2020/11/19","PMC7648473","","10.11604/pamj.2020.37.42.21176"
"33325005","Burst Motor Cortex Stimulation Evokes Sustained Suppression of Thalamic Stroke Pain: A Narrative Review and Single-Case Overview","Nüssel M, Hamperl M, Maslarova A, Chaudhry SR, Köhn J, Stadlbauer A, Buchfelder M, Kinfe T.","Pain Ther. 2020 Dec 16. doi: 10.1007/s40122-020-00221-0. Online ahead of print.","Nüssel M","Pain Ther","2020","2020/12/16","","","10.1007/s40122-020-00221-0"
"21369536","Evaluation of the Iconic Pain Assessment Tool by a heterogeneous group of people in pain","Lalloo C, Henry JL.","Pain Res Manag. 2011 Jan-Feb;16(1):13-8. doi: 10.1155/2011/463407.","Lalloo C","Pain Res Manag","2011","2011/03/04","PMC3052402","","10.1155/2011/463407"
"20195555","Poststroke pain - but multiple pain mechanisms","Chari V, Tunks E.","Pain Res Manag. 2010 Jan-Feb;15(1):24-6. doi: 10.1155/2010/923481.","Chari V","Pain Res Manag","2010","2010/03/03","PMC2855292","","10.1155/2010/923481"
"18301815","Central poststroke pain: an abstruse outcome","Henry JL, Lalloo C, Yashpal K.","Pain Res Manag. 2008 Jan-Feb;13(1):41-9. doi: 10.1155/2008/754260.","Henry JL","Pain Res Manag","2008","2008/02/28","PMC2670809","","10.1155/2008/754260"
"30282391","Effectiveness and Safety of High-Voltage Pulsed Radiofrequency to Treat Patients with Primary Trigeminal Neuralgia: A Multicenter, Randomized, Double-Blind, Controlled Study Protocol","Jia Y, Pan Y, Ren H, Ji N, Luo F.","Pain Physician. 2018 Sep;21(5):469-481.","Jia Y","Pain Physician","2018","2018/10/05","","",""
"26606017","High Frequency Repetitive Transcranial Magnetic Stimulation Therapy For Chronic Neuropathic Pain: A Meta-analysis","Jin Y, Xing G, Li G, Wang A, Feng S, Tang Q, Liao X, Guo Z, McClure MA, Mu Q.","Pain Physician. 2015 Nov;18(6):E1029-46.","Jin Y","Pain Physician","2015","2015/11/26","","",""
"23703410","Intravenous infusions in chronic pain management","Kosharskyy B, Almonte W, Shaparin N, Pappagallo M, Smith H.","Pain Physician. 2013 May-Jun;16(3):231-49.","Kosharskyy B","Pain Physician","2013","2013/05/25","","",""
"32488238","Changes in Muscle Tone, Function, and Pain in the Chronic Hemiparetic Shoulder after Dry Needling Within or Outside Trigger Points in Stroke Patients: A Crossover Randomized Clinical Trial","Hernández-Ortíz AR, Ponce-Luceño R, Sáez-Sánchez C, García-Sánchez O, Fernández-de-Las-Peñas C, de-la-Llave-Rincón AI.","Pain Med. 2020 Jun 3:pnaa132. doi: 10.1093/pm/pnaa132. Online ahead of print.","Hernández-Ortíz AR","Pain Med","2020","2020/06/04","","","10.1093/pm/pnaa132"
"26893113","Presence of Decreased Intraepidermal Nerve Fiber Density Consistent with Small Fiber Neuropathy in Patients with Central Post-Stroke Pain","Cavalier Y, Albrecht PJ, Amory C, Bernardini GL, Argoff CE.","Pain Med. 2016 Aug;17(8):1569-71. doi: 10.1093/pm/pnw001. Epub 2016 Feb 18.","Cavalier Y","Pain Med","2016","2016/02/20","","","10.1093/pm/pnw001"
"26814255","Prevalence and Time Course of Post-Stroke Pain: A Multicenter Prospective Hospital-Based Study","Paolucci S, Iosa M, Toni D, Barbanti P, Bovi P, Cavallini A, Candeloro E, Mancini A, Mancuso M, Monaco S, Pieroni A, Recchia S, Sessa M, Strambo D, Tinazzi M, Cruccu G, Truini A; Neuropathic pain special interest group of the Italian Neurological Society.","Pain Med. 2016 May;17(5):924-30. doi: 10.1093/pm/pnv019. Epub 2015 Dec 14.","Paolucci S","Pain Med","2016","2016/01/28","","","10.1093/pm/pnv019"
"21266007","Central post stroke pain: clinical, MRI, and SPECT correlation","Kalita J, Kumar B, Misra UK, Pradhan PK.","Pain Med. 2011 Feb;12(2):282-8. doi: 10.1111/j.1526-4637.2010.01046.x. Epub 2011 Jan 25.","Kalita J","Pain Med","2011","2011/01/27","","","10.1111/j.1526-4637.2010.01046.x"
"14996229","Pharmacologic management part 2: lesser-studied neuropathic pain diseases","Backonja MM, Serra J.","Pain Med. 2004 Mar;5 Suppl 1:S48-59. doi: 10.1111/j.1526-4637.2004.04021.x.","Backonja MM","Pain Med","2004","2004/03/05","","","10.1111/j.1526-4637.2004.04021.x"
"25962545","A Comprehensive Review of Central Post-Stroke Pain","Oh H, Seo W.","Pain Manag Nurs. 2015 Oct;16(5):804-18. doi: 10.1016/j.pmn.2015.03.002. Epub 2015 May 9.","Oh H","Pain Manag Nurs","2015","2015/05/13","","","10.1016/j.pmn.2015.03.002"
"20728064","Piloting tailored teaching on nonpharmacologic enhancements for postoperative pain management in older adults","Tracy SM.","Pain Manag Nurs. 2010 Sep;11(3):148-58. doi: 10.1016/j.pmn.2009.06.002. Epub 2009 Sep 12.","Tracy SM","Pain Manag Nurs","2010","2010/08/24","","","10.1016/j.pmn.2009.06.002"
"32694384","Mapping the network underpinnings of central poststroke pain and analgesic neuromodulation","Elias GJB, De Vloo P, Germann J, Boutet A, Gramer RM, Joel SE, Morlion B, Nuttin B, Lozano AM.","Pain. 2020 Dec;161(12):2805-2819. doi: 10.1097/j.pain.0000000000001998.","Elias GJB","Pain","2020","2020/07/23","","","10.1097/j.pain.0000000000001998"
"30586071","The IASP classification of chronic pain for ICD-11: chronic neuropathic pain","Scholz J, Finnerup NB, Attal N, Aziz Q, Baron R, Bennett MI, Benoliel R, Cohen M, Cruccu G, Davis KD, Evers S, First M, Giamberardino MA, Hansson P, Kaasa S, Korwisi B, Kosek E, Lavandʼhomme P, Nicholas M, Nurmikko T, Perrot S, Raja SN, Rice ASC, Rowbotham MC, Schug S, Simpson DM, Smith BH, Svensson P, Vlaeyen JWS, Wang SJ, Barke A, Rief W, Treede RD; Classification Committee of the Neuropathic Pain Special Interest Group (NeuPSIG).","Pain. 2019 Jan;160(1):53-59. doi: 10.1097/j.pain.0000000000001365.","Scholz J","Pain","2019","2018/12/27","PMC6310153","NIHMS1502286","10.1097/j.pain.0000000000001365"
